onset	duration	trial_type	response_time
0.773	2.209	100inc_excluded	n/a
2.999	3.323	100inc_included	0.822
6.388	2.857	100inc_excluded	n/a
9.262	3.007	100inc_included	0.936
12.336	2.525	100inc_excluded	n/a
14.877	3.389	100inc_included	0.752
33.755	13.000	Fixation	n/a
31.358	2.791	66inc_excluded	n/a
34.165	2.575	66inc_excluded	n/a
36.757	3.422	66inc_included	1.077
40.245	3.439	66inc_included	0.935
43.768	2.293	66inc_excluded	n/a
46.077	2.243	66inc_excluded	n/a
48.336	2.558	66inc_excluded	n/a
66.333	13.000	Fixation	n/a
63.936	2.425	0inc_excluded	n/a
66.378	2.642	0inc_excluded	n/a
69.036	2.193	0inc_excluded	n/a
71.246	2.043	0inc_excluded	n/a
73.305	2.708	0inc_excluded	n/a
76.030	2.492	0inc_excluded	n/a
78.539	2.126	0inc_excluded	n/a
80.682	2.209	0inc_excluded	n/a
82.908	2.342	0inc_excluded	n/a
100.689	13.000	Fixation	n/a
98.292	1.977	33inc_excluded	n/a
100.285	2.459	33inc_excluded	n/a
102.761	2.392	33inc_excluded	n/a
105.169	2.558	33inc_excluded	n/a
107.745	3.970	33inc_included	1.334
111.781	2.259	33inc_excluded	n/a
114.057	1.911	33inc_excluded	n/a
115.985	2.127	33inc_excluded	n/a
133.549	13.000	Fixation	n/a
131.152	2.392	66inc_excluded	n/a
133.561	2.309	66inc_excluded	n/a
135.887	4.270	66inc_included	1.284
140.223	3.539	66inc_included	0.940
143.845	2.243	66inc_excluded	n/a
146.104	1.944	66inc_excluded	n/a
148.064	2.110	66inc_excluded	n/a
165.613	13.000	Fixation	n/a
163.215	2.259	100inc_excluded	n/a
165.491	3.190	100inc_included	0.538
168.748	2.575	100inc_excluded	n/a
171.339	2.625	100inc_included	0.504
174.047	2.509	100inc_excluded	n/a
176.572	3.339	100inc_included	0.521
195.416	13.000	Fixation	n/a
193.019	2.209	33inc_excluded	n/a
195.245	2.226	33inc_excluded	n/a
197.488	2.724	33inc_excluded	n/a
200.229	2.691	33inc_excluded	n/a
202.937	3.655	33inc_included	0.787
206.659	2.857	33inc_excluded	n/a
209.533	1.960	33inc_excluded	n/a
211.510	2.243	33inc_excluded	n/a
229.191	13.000	Fixation	n/a
226.794	2.027	0inc_excluded	n/a
228.837	2.791	0inc_excluded	n/a
231.645	2.209	0inc_excluded	n/a
233.871	2.874	0inc_excluded	n/a
236.762	2.243	0inc_excluded	n/a
239.021	2.475	0inc_excluded	n/a
241.513	1.944	0inc_excluded	n/a
243.473	2.176	0inc_excluded	n/a
245.666	2.160	0inc_excluded	n/a
263.264	13.000	Fixation	n/a
260.867	2.127	33inc_excluded	n/a
263.010	2.359	33inc_excluded	n/a
265.386	2.608	33inc_excluded	n/a
268.011	2.675	33inc_excluded	n/a
270.702	3.356	33inc_included	0.609
274.141	2.509	33inc_excluded	n/a
276.666	2.758	33inc_excluded	n/a
279.441	2.841	33inc_excluded	n/a
297.720	13.000	Fixation	n/a
295.323	2.691	100inc_excluded	n/a
298.031	2.808	100inc_included	0.711
300.905	2.907	100inc_excluded	n/a
303.829	2.824	100inc_included	0.658
306.719	2.841	100inc_excluded	n/a
309.577	3.671	100inc_included	1.231
328.736	13.000	Fixation	n/a
326.339	2.226	0inc_excluded	n/a
328.582	2.226	0inc_excluded	n/a
330.825	2.874	0inc_excluded	n/a
333.715	2.043	0inc_excluded	n/a
335.775	2.276	0inc_excluded	n/a
338.068	2.359	0inc_excluded	n/a
340.444	2.359	0inc_excluded	n/a
342.819	2.376	0inc_excluded	n/a
345.212	2.409	0inc_excluded	n/a
363.059	13.000	Fixation	n/a
360.662	2.824	66inc_excluded	n/a
363.503	2.824	66inc_excluded	n/a
366.344	2.675	66inc_included	0.560
369.085	3.638	66inc_included	0.875
372.789	2.010	66inc_excluded	n/a
374.816	2.475	66inc_excluded	n/a
377.308	2.376	66inc_excluded	n/a
395.122	13.000	Fixation	n/a
392.725	2.425	0inc_excluded	n/a
395.167	2.226	0inc_excluded	n/a
397.410	2.193	0inc_excluded	n/a
399.619	2.143	0inc_excluded	n/a
401.779	2.691	0inc_excluded	n/a
404.487	2.209	0inc_excluded	n/a
406.713	2.259	0inc_excluded	n/a
408.989	2.442	0inc_excluded	n/a
411.448	2.392	0inc_excluded	n/a
429.279	13.000	Fixation	n/a
426.882	2.243	100inc_excluded	n/a
429.141	3.688	100inc_included	0.726
432.912	2.642	100inc_excluded	n/a
435.570	3.173	100inc_included	0.528
438.810	2.359	100inc_excluded	n/a
441.185	3.505	100inc_included	0.573
460.179	13.000	Fixation	n/a
457.782	2.060	66inc_excluded	n/a
459.858	2.027	66inc_excluded	n/a
461.902	2.658	66inc_included	0.595
464.643	3.090	66inc_included	0.593
467.816	2.824	66inc_excluded	n/a
470.657	2.060	66inc_excluded	n/a
472.734	2.459	66inc_excluded	n/a
490.631	13.000	Fixation	n/a
488.234	2.293	33inc_excluded	n/a
490.543	2.259	33inc_excluded	n/a
492.819	2.442	33inc_excluded	n/a
495.278	2.857	33inc_excluded	n/a
498.152	3.522	33inc_included	0.337
501.740	2.209	33inc_excluded	n/a
503.966	2.293	33inc_excluded	n/a
506.275	2.110	33inc_excluded	n/a
